,horizon,mse,rmse,mae,mape,mdape,coverage
0,0 days 03:00:00,109.66585660982398,10.472146704941828,9.398499378734929,9.570689607701926,2.0384966769133603,0.0
1,0 days 04:00:00,82.94692397716595,9.107520188128378,8.157789928984702,11.181847087808173,2.5116057505902414,0.004694835680751173
2,0 days 05:00:00,73.42968510727927,8.569112270666038,7.685067749063581,10.85112194707877,2.4792882461159933,0.009389671361502346
3,0 days 06:00:00,72.24205467809625,8.499532615273399,7.616445463808137,8.356204487523145,1.931208925669626,0.015930790736930947
4,0 days 07:00:00,107.21533041756977,10.354483590096118,9.018692142967764,5.037254673313059,1.7175388273417207,0.011235955056179773
5,0 days 08:00:00,238.70176903257416,15.449976344078141,12.859226686845743,2.45750199041436,1.1832043638186203,0.008387403070106028
6,0 days 09:00:00,411.7570475047514,20.29179754247394,17.13950565144234,1.4899545506795442,1.0069321493559422,0.009389671361502346
7,0 days 10:00:00,537.1476523507072,23.176446068168158,20.04389434833012,1.118870266017997,0.8810356994728541,0.006541119375428601
8,0 days 11:00:00,594.0336164310139,24.372804853586587,21.585131076219625,0.9519029332127004,0.8025877726744438,0.001846283694677428
9,0 days 12:00:00,602.539067391406,24.546671207954166,22.127371658913837,0.8879978819956356,0.7592355466169028,0.0
10,0 days 13:00:00,582.9222154494026,24.143782128105006,21.86731450895861,2.3601124793726442,0.7442294224507068,0.0
11,0 days 14:00:00,565.0679807955605,23.771158591780093,21.524574854796025,2.3293471431615873,0.7191603100025661,0.0
12,0 days 15:00:00,520.2307605865622,22.808567701338944,20.61571799554384,1.4445785050825242,0.7343977678465904,0.004694835680751173
13,0 days 16:00:00,465.59596956969335,21.577672941484987,19.378880778188588,0.938066614100797,0.7363154810467637,0.004694835680751173
14,0 days 17:00:00,435.5370043456274,20.86952333776762,18.565703114512083,0.9542057342102244,0.7690119601381717,0.001846283694677428
15,0 days 18:00:00,430.3531110956444,20.744953870655976,18.33558404841858,0.940741332059394,0.7953967163273775,0.0
16,0 days 19:00:00,435.95673068183225,20.87957687985636,18.533169279397555,0.9548698945702052,0.7952108043894076,0.004694835680751173
17,0 days 20:00:00,489.06195331146967,22.114745155924126,19.803492834548322,0.9990070862679176,0.772133852247853,0.004694835680751173
18,0 days 21:00:00,563.4273436566532,23.736624521120376,21.508922898447288,1.1602322801736769,0.7496450630599875,0.001846283694677428
19,0 days 22:00:00,595.0387941577083,24.393417025044037,22.499188683009226,1.0494877361858739,0.745368117760963,0.0
20,0 days 23:00:00,523.0662120191193,22.870640830967535,21.27463677963585,0.8674162317655609,0.7642134693826154,0.0
21,1 days 00:00:00,381.51484797743444,19.5324050740669,18.06509980925376,0.9628070565055595,0.8315351193795771,0.009389671361502346
